# x_fitting, y_fitting
0.100,0.931
0.102,0.931
0.103,0.931
0.104,0.931
0.105,0.931
0.106,0.931
0.108,0.931
0.109,0.931
0.110,0.931
0.111,0.931
0.113,0.931
0.114,0.931
0.115,0.931
0.116,0.930
0.117,0.930
0.119,0.930
0.120,0.930
0.121,0.930
0.122,0.930
0.124,0.930
0.125,0.930
0.126,0.930
0.127,0.930
0.129,0.930
0.130,0.930
0.131,0.930
0.132,0.930
0.133,0.930
0.135,0.930
0.136,0.930
0.137,0.930
0.138,0.930
0.140,0.930
0.141,0.930
0.142,0.930
0.143,0.930
0.144,0.930
0.146,0.930
0.147,0.930
0.148,0.930
0.149,0.930
0.151,0.930
0.152,0.930
0.153,0.930
0.154,0.930
0.155,0.930
0.157,0.930
0.158,0.930
0.159,0.930
0.160,0.930
0.162,0.930
0.163,0.930
0.164,0.930
0.165,0.930
0.166,0.930
0.168,0.930
0.169,0.930
0.170,0.930
0.171,0.930
0.173,0.930
0.174,0.930
0.175,0.930
0.176,0.930
0.177,0.930
0.179,0.930
0.180,0.930
0.181,0.930
0.182,0.930
0.184,0.930
0.185,0.930
0.186,0.930
0.187,0.930
0.188,0.929
0.190,0.929
0.191,0.929
0.192,0.929
0.193,0.929
0.195,0.929
0.196,0.929
0.197,0.929
0.198,0.929
0.199,0.929
0.201,0.929
0.202,0.929
0.203,0.929
0.204,0.929
0.206,0.929
0.207,0.929
0.208,0.929
0.209,0.929
0.210,0.929
0.212,0.929
0.213,0.929
0.214,0.929
0.215,0.929
0.217,0.929
0.218,0.929
0.219,0.929
0.220,0.929
0.222,0.929
0.223,0.929
0.224,0.929
0.225,0.929
0.226,0.929
0.228,0.929
0.229,0.929
0.230,0.928
0.231,0.928
0.233,0.928
0.234,0.928
0.235,0.928
0.236,0.928
0.237,0.928
0.239,0.928
0.240,0.928
0.241,0.928
0.242,0.928
0.244,0.928
0.245,0.928
0.246,0.928
0.247,0.928
0.248,0.928
0.250,0.928
0.251,0.928
0.252,0.928
0.253,0.928
0.255,0.928
0.256,0.928
0.257,0.928
0.258,0.928
0.259,0.928
0.261,0.928
0.262,0.928
0.263,0.927
0.264,0.927
0.266,0.927
0.267,0.927
0.268,0.927
0.269,0.927
0.270,0.927
0.272,0.927
0.273,0.927
0.274,0.927
0.275,0.927
0.277,0.927
0.278,0.927
0.279,0.927
0.280,0.927
0.281,0.927
0.283,0.927
0.284,0.927
0.285,0.927
0.286,0.927
0.288,0.927
0.289,0.927
0.290,0.927
0.291,0.926
0.292,0.926
0.294,0.926
0.295,0.926
0.296,0.926
0.297,0.926
0.299,0.926
0.300,0.926
0.301,0.926
0.302,0.926
0.304,0.926
0.305,0.926
0.306,0.926
0.307,0.926
0.308,0.926
0.310,0.926
0.311,0.926
0.312,0.926
0.313,0.926
0.315,0.926
0.316,0.925
0.317,0.925
0.318,0.925
0.319,0.925
0.321,0.925
0.322,0.925
0.323,0.925
0.324,0.925
0.326,0.925
0.327,0.925
0.328,0.925
0.329,0.925
0.330,0.925
0.332,0.925
0.333,0.925
0.334,0.925
0.335,0.925
0.337,0.925
0.338,0.925
0.339,0.924
0.340,0.924
0.341,0.924
0.343,0.924
0.344,0.924
0.345,0.924
0.346,0.924
0.348,0.924
0.349,0.924
0.350,0.924
0.351,0.924
0.352,0.924
0.354,0.924
0.355,0.924
0.356,0.924
0.357,0.924
0.359,0.924
0.360,0.923
0.361,0.923
0.362,0.923
0.363,0.923
0.365,0.923
0.366,0.923
0.367,0.923
0.368,0.923
0.370,0.923
0.371,0.923
0.372,0.923
0.373,0.923
0.374,0.923
0.376,0.923
0.377,0.923
0.378,0.923
0.379,0.923
0.381,0.922
0.382,0.922
0.383,0.922
0.384,0.922
0.386,0.922
0.387,0.922
0.388,0.922
0.389,0.922
0.390,0.922
0.392,0.922
0.393,0.922
0.394,0.922
0.395,0.922
0.397,0.922
0.398,0.922
0.399,0.921
0.400,0.921
0.401,0.921
0.403,0.921
0.404,0.921
0.405,0.921
0.406,0.921
0.408,0.921
0.409,0.921
0.410,0.921
0.411,0.921
0.412,0.921
0.414,0.921
0.415,0.921
0.416,0.921
0.417,0.920
0.419,0.920
0.420,0.920
0.421,0.920
0.422,0.920
0.423,0.920
0.425,0.920
0.426,0.920
0.427,0.920
0.428,0.920
0.430,0.920
0.431,0.920
0.432,0.920
0.433,0.920
0.434,0.919
0.436,0.919
0.437,0.919
0.438,0.919
0.439,0.919
0.441,0.919
0.442,0.919
0.443,0.919
0.444,0.919
0.445,0.919
0.447,0.919
0.448,0.919
0.449,0.919
0.450,0.919
0.452,0.918
0.453,0.918
0.454,0.918
0.455,0.918
0.456,0.918
0.458,0.918
0.459,0.918
0.460,0.918
0.461,0.918
0.463,0.918
0.464,0.918
0.465,0.918
0.466,0.918
0.468,0.917
0.469,0.917
0.470,0.917
0.471,0.917
0.472,0.917
0.474,0.917
0.475,0.917
0.476,0.917
0.477,0.917
0.479,0.917
0.480,0.917
0.481,0.917
0.482,0.917
0.483,0.916
0.485,0.916
0.486,0.916
0.487,0.916
0.488,0.916
0.490,0.916
0.491,0.916
0.492,0.916
0.493,0.916
0.494,0.916
0.496,0.916
0.497,0.916
0.498,0.915
0.499,0.915
0.501,0.915
0.502,0.915
0.503,0.915
0.504,0.915
0.505,0.915
0.507,0.915
0.508,0.915
0.509,0.915
0.510,0.915
0.512,0.915
0.513,0.914
0.514,0.914
0.515,0.914
0.516,0.914
0.518,0.914
0.519,0.914
0.520,0.914
0.521,0.914
0.523,0.914
0.524,0.914
0.525,0.914
0.526,0.914
0.527,0.913
0.529,0.913
0.530,0.913
0.531,0.913
0.532,0.913
0.534,0.913
0.535,0.913
0.536,0.913
0.537,0.913
0.538,0.913
0.540,0.913
0.541,0.913
0.542,0.912
0.543,0.912
0.545,0.912
0.546,0.912
0.547,0.912
0.548,0.912
0.550,0.912
0.551,0.912
0.552,0.912
0.553,0.912
0.554,0.912
0.556,0.911
0.557,0.911
0.558,0.911
0.559,0.911
0.561,0.911
0.562,0.911
0.563,0.911
0.564,0.911
0.565,0.911
0.567,0.911
0.568,0.911
0.569,0.910
0.570,0.910
0.572,0.910
0.573,0.910
0.574,0.910
0.575,0.910
0.576,0.910
0.578,0.910
0.579,0.910
0.580,0.910
0.581,0.910
0.583,0.909
0.584,0.909
0.585,0.909
0.586,0.909
0.587,0.909
0.589,0.909
0.590,0.909
0.591,0.909
0.592,0.909
0.594,0.909
0.595,0.909
0.596,0.908
0.597,0.908
