# x_fitting, y_fitting
0.100,0.828
0.101,0.828
0.102,0.827
0.102,0.826
0.103,0.826
0.104,0.825
0.105,0.824
0.106,0.824
0.106,0.823
0.107,0.822
0.108,0.822
0.109,0.821
0.110,0.820
0.110,0.819
0.111,0.819
0.112,0.818
0.113,0.817
0.114,0.816
0.114,0.816
0.115,0.815
0.116,0.814
0.117,0.813
0.118,0.812
0.118,0.812
0.119,0.811
0.120,0.810
0.121,0.809
0.122,0.808
0.122,0.808
0.123,0.807
0.124,0.806
0.125,0.805
0.126,0.804
0.126,0.803
0.127,0.802
0.128,0.802
0.129,0.801
0.130,0.800
0.130,0.799
0.131,0.798
0.132,0.797
0.133,0.796
0.134,0.795
0.134,0.795
0.135,0.794
0.136,0.793
0.137,0.792
0.138,0.791
0.138,0.790
0.139,0.789
0.140,0.788
0.141,0.787
0.142,0.786
0.142,0.785
0.143,0.784
0.144,0.783
0.145,0.782
0.146,0.781
0.146,0.781
0.147,0.780
0.148,0.779
0.149,0.778
0.150,0.777
0.150,0.776
0.151,0.775
0.152,0.774
0.153,0.773
0.154,0.772
0.154,0.771
0.155,0.770
0.156,0.769
0.157,0.768
0.158,0.767
0.158,0.766
0.159,0.764
0.160,0.763
0.161,0.762
0.162,0.761
0.162,0.760
0.163,0.759
0.164,0.758
0.165,0.757
0.166,0.756
0.166,0.755
0.167,0.754
0.168,0.753
0.169,0.752
0.170,0.751
0.170,0.750
0.171,0.749
0.172,0.748
0.173,0.746
0.174,0.745
0.174,0.744
0.175,0.743
0.176,0.742
0.177,0.741
0.178,0.740
0.178,0.739
0.179,0.738
0.180,0.736
0.181,0.735
0.182,0.734
0.182,0.733
0.183,0.732
0.184,0.731
0.185,0.730
0.186,0.729
0.186,0.727
0.187,0.726
0.188,0.725
0.189,0.724
0.190,0.723
0.190,0.722
0.191,0.721
0.192,0.719
0.193,0.718
0.194,0.717
0.194,0.716
0.195,0.715
0.196,0.714
0.197,0.712
0.198,0.711
0.198,0.710
0.199,0.709
0.200,0.708
0.201,0.707
0.202,0.705
0.203,0.704
0.203,0.703
0.204,0.702
0.205,0.701
0.206,0.699
0.207,0.698
0.207,0.697
0.208,0.696
0.209,0.695
0.210,0.694
0.211,0.692
0.211,0.691
0.212,0.690
0.213,0.689
0.214,0.687
0.215,0.686
0.215,0.685
0.216,0.684
0.217,0.683
0.218,0.681
0.219,0.680
0.219,0.679
0.220,0.678
0.221,0.677
0.222,0.675
0.223,0.674
0.223,0.673
0.224,0.672
0.225,0.670
0.226,0.669
0.227,0.668
0.227,0.667
0.228,0.666
0.229,0.664
0.230,0.663
0.231,0.662
0.231,0.661
0.232,0.659
0.233,0.658
0.234,0.657
0.235,0.656
0.235,0.654
0.236,0.653
0.237,0.652
0.238,0.651
0.239,0.649
0.239,0.648
0.240,0.647
0.241,0.646
0.242,0.644
0.243,0.643
0.243,0.642
0.244,0.641
0.245,0.639
0.246,0.638
0.247,0.637
0.247,0.636
0.248,0.634
0.249,0.633
0.250,0.632
0.251,0.631
0.251,0.629
0.252,0.628
0.253,0.627
0.254,0.626
0.255,0.624
0.255,0.623
0.256,0.622
0.257,0.621
0.258,0.619
0.259,0.618
0.259,0.617
0.260,0.616
0.261,0.614
0.262,0.613
0.263,0.612
0.263,0.611
0.264,0.609
0.265,0.608
0.266,0.607
0.267,0.606
0.267,0.604
0.268,0.603
0.269,0.602
0.270,0.601
0.271,0.599
0.271,0.598
0.272,0.597
0.273,0.596
0.274,0.594
0.275,0.593
0.275,0.592
0.276,0.590
0.277,0.589
0.278,0.588
0.279,0.587
0.279,0.585
0.280,0.584
0.281,0.583
0.282,0.582
0.283,0.580
0.283,0.579
0.284,0.578
0.285,0.577
0.286,0.575
0.287,0.574
0.287,0.573
0.288,0.572
0.289,0.570
0.290,0.569
0.291,0.568
0.291,0.567
0.292,0.565
0.293,0.564
0.294,0.563
0.295,0.562
0.295,0.560
0.296,0.559
0.297,0.558
0.298,0.557
0.299,0.555
0.299,0.554
0.300,0.553
0.301,0.552
0.302,0.550
0.303,0.549
0.303,0.548
0.304,0.547
0.305,0.546
0.306,0.544
0.307,0.543
0.307,0.542
0.308,0.541
0.309,0.539
0.310,0.538
0.311,0.537
0.311,0.536
0.312,0.534
0.313,0.533
0.314,0.532
0.315,0.531
0.315,0.530
0.316,0.528
0.317,0.527
0.318,0.526
0.319,0.525
0.319,0.523
0.320,0.522
0.321,0.521
0.322,0.520
0.323,0.519
0.323,0.517
0.324,0.516
0.325,0.515
0.326,0.514
0.327,0.512
0.327,0.511
0.328,0.510
0.329,0.509
0.330,0.508
0.331,0.506
0.331,0.505
0.332,0.504
0.333,0.503
0.334,0.502
0.335,0.500
0.335,0.499
0.336,0.498
0.337,0.497
0.338,0.496
0.339,0.494
0.339,0.493
0.340,0.492
0.341,0.491
0.342,0.490
0.343,0.489
0.343,0.487
0.344,0.486
0.345,0.485
0.346,0.484
0.347,0.483
0.347,0.481
0.348,0.480
0.349,0.479
0.350,0.478
0.351,0.477
0.351,0.476
0.352,0.474
0.353,0.473
0.354,0.472
0.355,0.471
0.355,0.470
0.356,0.469
0.357,0.468
0.358,0.466
0.359,0.465
0.359,0.464
0.360,0.463
0.361,0.462
0.362,0.461
0.363,0.460
0.363,0.458
0.364,0.457
0.365,0.456
0.366,0.455
0.367,0.454
0.367,0.453
0.368,0.452
0.369,0.450
0.370,0.449
0.371,0.448
0.371,0.447
0.372,0.446
0.373,0.445
0.374,0.444
0.375,0.443
0.375,0.441
0.376,0.440
0.377,0.439
0.378,0.438
0.379,0.437
0.379,0.436
0.380,0.435
0.381,0.434
0.382,0.433
0.383,0.432
0.383,0.430
0.384,0.429
0.385,0.428
0.386,0.427
0.387,0.426
0.387,0.425
0.388,0.424
0.389,0.423
0.390,0.422
0.391,0.421
0.391,0.420
0.392,0.419
0.393,0.418
0.394,0.416
0.395,0.415
0.395,0.414
0.396,0.413
0.397,0.412
0.398,0.411
0.399,0.410
0.399,0.409
0.400,0.408
0.401,0.407
0.402,0.406
0.403,0.405
0.403,0.404
0.404,0.403
0.405,0.402
0.406,0.401
0.407,0.400
0.407,0.399
0.408,0.398
0.409,0.397
0.410,0.396
0.411,0.395
0.411,0.394
0.412,0.393
0.413,0.392
0.414,0.391
0.415,0.390
0.415,0.389
0.416,0.388
0.417,0.387
0.418,0.386
0.419,0.385
0.419,0.384
0.420,0.383
0.421,0.382
0.422,0.381
0.423,0.380
0.423,0.379
0.424,0.378
0.425,0.377
0.426,0.376
0.427,0.375
0.427,0.374
0.428,0.373
0.429,0.372
0.430,0.371
0.431,0.370
0.431,0.369
0.432,0.368
0.433,0.367
0.434,0.366
0.435,0.365
0.435,0.364
0.436,0.363
0.437,0.362
0.438,0.361
0.439,0.360
0.439,0.359
0.440,0.359
0.441,0.358
0.442,0.357
0.443,0.356
0.443,0.355
0.444,0.354
0.445,0.353
0.446,0.352
0.447,0.351
0.447,0.350
0.448,0.349
0.449,0.348
0.450,0.348
0.451,0.347
0.451,0.346
0.452,0.345
0.453,0.344
0.454,0.343
0.455,0.342
0.455,0.341
0.456,0.340
0.457,0.340
0.458,0.339
0.459,0.338
0.459,0.337
0.460,0.336
0.461,0.335
0.462,0.334
0.463,0.333
0.463,0.333
0.464,0.332
0.465,0.331
0.466,0.330
0.467,0.329
0.467,0.328
0.468,0.327
0.469,0.327
0.470,0.326
0.471,0.325
0.471,0.324
0.472,0.323
0.473,0.322
0.474,0.322
0.475,0.321
0.475,0.320
0.476,0.319
0.477,0.318
0.478,0.318
0.479,0.317
0.479,0.316
0.480,0.315
0.481,0.314
0.482,0.314
0.483,0.313
0.483,0.312
0.484,0.311
0.485,0.310
0.486,0.310
0.487,0.309
0.487,0.308
0.488,0.307
0.489,0.306
0.490,0.306
0.491,0.305
0.491,0.304
0.492,0.303
0.493,0.303
0.494,0.302
0.495,0.301
0.495,0.300
0.496,0.300
0.497,0.299
0.498,0.298
0.499,0.297
0.499,0.297
0.500,0.296
0.501,0.295
0.502,0.294
0.503,0.294
0.503,0.293
0.504,0.292
0.505,0.292
0.506,0.291
0.507,0.290
0.507,0.289
0.508,0.289
0.509,0.288
0.510,0.287
0.511,0.287
0.511,0.286
0.512,0.285
0.513,0.284
0.514,0.284
0.515,0.283
0.515,0.282
0.516,0.282
0.517,0.281
0.518,0.280
0.519,0.280
0.519,0.279
0.520,0.278
0.521,0.278
0.522,0.277
0.523,0.276
0.523,0.276
0.524,0.275
0.525,0.274
0.526,0.274
0.527,0.273
0.527,0.272
0.528,0.272
0.529,0.271
0.530,0.270
0.531,0.270
0.531,0.269
0.532,0.269
0.533,0.268
0.534,0.267
0.535,0.267
0.535,0.266
0.536,0.265
0.537,0.265
0.538,0.264
0.539,0.264
0.539,0.263
0.540,0.262
0.541,0.262
0.542,0.261
0.543,0.261
0.543,0.260
0.544,0.259
0.545,0.259
0.546,0.258
0.547,0.258
0.547,0.257
0.548,0.256
0.549,0.256
0.550,0.255
0.551,0.255
0.551,0.254
0.552,0.254
0.553,0.253
0.554,0.252
0.555,0.252
0.555,0.251
0.556,0.251
0.557,0.250
0.558,0.250
0.559,0.249
0.559,0.249
0.560,0.248
0.561,0.248
0.562,0.247
0.563,0.246
0.563,0.246
0.564,0.245
0.565,0.245
0.566,0.244
0.567,0.244
0.567,0.243
0.568,0.243
0.569,0.242
0.570,0.242
0.571,0.241
0.571,0.241
0.572,0.240
0.573,0.240
0.574,0.239
0.575,0.239
0.575,0.238
0.576,0.238
0.577,0.237
0.578,0.237
0.579,0.236
0.579,0.236
0.580,0.235
0.581,0.235
0.582,0.234
0.583,0.234
0.583,0.234
0.584,0.233
0.585,0.233
0.586,0.232
0.587,0.232
0.587,0.231
0.588,0.231
0.589,0.230
0.590,0.230
0.591,0.229
0.591,0.229
0.592,0.229
0.593,0.228
0.594,0.228
0.595,0.227
0.595,0.227
0.596,0.226
0.597,0.226
0.598,0.226
0.599,0.225
0.599,0.225
0.600,0.224
0.601,0.224
0.602,0.224
0.603,0.223
0.604,0.223
0.604,0.222
0.605,0.222
0.606,0.222
0.607,0.221
0.608,0.221
0.608,0.220
0.609,0.220
0.610,0.220
0.611,0.219
0.612,0.219
0.612,0.218
0.613,0.218
0.614,0.218
0.615,0.217
0.616,0.217
0.616,0.217
0.617,0.216
0.618,0.216
0.619,0.216
0.620,0.215
0.620,0.215
0.621,0.214
0.622,0.214
0.623,0.214
0.624,0.213
0.624,0.213
0.625,0.213
0.626,0.212
0.627,0.212
0.628,0.212
0.628,0.211
0.629,0.211
0.630,0.211
0.631,0.210
0.632,0.210
0.632,0.210
0.633,0.210
0.634,0.209
0.635,0.209
0.636,0.209
0.636,0.208
0.637,0.208
0.638,0.208
0.639,0.207
0.640,0.207
0.640,0.207
0.641,0.206
0.642,0.206
0.643,0.206
0.644,0.206
0.644,0.205
0.645,0.205
0.646,0.205
0.647,0.205
0.648,0.204
0.648,0.204
0.649,0.204
0.650,0.203
0.651,0.203
0.652,0.203
0.652,0.203
0.653,0.202
0.654,0.202
0.655,0.202
0.656,0.202
0.656,0.201
0.657,0.201
0.658,0.201
0.659,0.201
0.660,0.200
0.660,0.200
0.661,0.200
0.662,0.200
0.663,0.199
0.664,0.199
0.664,0.199
0.665,0.199
0.666,0.199
0.667,0.198
0.668,0.198
0.668,0.198
0.669,0.198
0.670,0.197
0.671,0.197
0.672,0.197
0.672,0.197
0.673,0.197
0.674,0.196
0.675,0.196
0.676,0.196
0.676,0.196
0.677,0.196
0.678,0.195
0.679,0.195
0.680,0.195
0.680,0.195
0.681,0.195
0.682,0.194
0.683,0.194
0.684,0.194
0.684,0.194
0.685,0.194
0.686,0.194
0.687,0.193
0.688,0.193
0.688,0.193
0.689,0.193
0.690,0.193
0.691,0.193
0.692,0.192
0.692,0.192
0.693,0.192
0.694,0.192
0.695,0.192
0.696,0.192
0.696,0.192
0.697,0.191
0.698,0.191
0.699,0.191
0.700,0.191
0.700,0.191
0.701,0.191
0.702,0.191
0.703,0.190
0.704,0.190
0.704,0.190
0.705,0.190
0.706,0.190
0.707,0.190
0.708,0.190
0.708,0.190
0.709,0.189
0.710,0.189
0.711,0.189
0.712,0.189
0.712,0.189
0.713,0.189
0.714,0.189
0.715,0.189
0.716,0.189
0.716,0.188
0.717,0.188
0.718,0.188
0.719,0.188
0.720,0.188
0.720,0.188
0.721,0.188
0.722,0.188
0.723,0.188
0.724,0.188
0.724,0.188
0.725,0.187
0.726,0.187
0.727,0.187
0.728,0.187
0.728,0.187
0.729,0.187
0.730,0.187
0.731,0.187
0.732,0.187
0.732,0.187
0.733,0.187
0.734,0.187
0.735,0.187
0.736,0.187
0.736,0.186
0.737,0.186
0.738,0.186
0.739,0.186
0.740,0.186
0.740,0.186
0.741,0.186
0.742,0.186
0.743,0.186
0.744,0.186
0.744,0.186
0.745,0.186
0.746,0.186
0.747,0.186
0.748,0.186
0.748,0.186
0.749,0.186
0.750,0.186
0.751,0.186
0.752,0.186
0.752,0.186
0.753,0.186
0.754,0.186
0.755,0.186
0.756,0.186
0.756,0.186
0.757,0.186
0.758,0.185
0.759,0.185
0.760,0.185
0.760,0.185
0.761,0.185
0.762,0.185
0.763,0.185
0.764,0.185
0.764,0.185
0.765,0.185
0.766,0.185
0.767,0.185
0.768,0.185
0.768,0.185
0.769,0.185
0.770,0.185
0.771,0.185
0.772,0.185
0.772,0.185
0.773,0.185
0.774,0.185
0.775,0.185
0.776,0.185
0.776,0.185
0.777,0.186
0.778,0.186
0.779,0.186
0.780,0.186
0.780,0.186
0.781,0.186
0.782,0.186
0.783,0.186
0.784,0.186
0.784,0.186
0.785,0.186
0.786,0.186
0.787,0.186
0.788,0.186
0.788,0.186
0.789,0.186
0.790,0.186
0.791,0.186
0.792,0.186
0.792,0.186
0.793,0.186
0.794,0.186
0.795,0.186
0.796,0.186
0.796,0.186
0.797,0.186
0.798,0.186
0.799,0.186
0.800,0.186
0.800,0.187
0.801,0.187
0.802,0.187
0.803,0.187
0.804,0.187
0.804,0.187
0.805,0.187
0.806,0.187
0.807,0.187
0.808,0.187
0.808,0.187
0.809,0.187
0.810,0.187
0.811,0.187
0.812,0.187
0.812,0.187
0.813,0.188
0.814,0.188
0.815,0.188
0.816,0.188
0.816,0.188
0.817,0.188
0.818,0.188
0.819,0.188
0.820,0.188
0.820,0.188
0.821,0.188
0.822,0.188
0.823,0.188
0.824,0.189
0.824,0.189
0.825,0.189
0.826,0.189
0.827,0.189
0.828,0.189
0.828,0.189
0.829,0.189
0.830,0.189
0.831,0.189
0.832,0.189
0.832,0.190
0.833,0.190
0.834,0.190
0.835,0.190
0.836,0.190
0.836,0.190
0.837,0.190
0.838,0.190
0.839,0.190
0.840,0.190
0.840,0.191
0.841,0.191
0.842,0.191
0.843,0.191
0.844,0.191
0.844,0.191
0.845,0.191
0.846,0.191
0.847,0.191
0.848,0.191
0.848,0.192
0.849,0.192
0.850,0.192
0.851,0.192
0.852,0.192
0.852,0.192
0.853,0.192
0.854,0.192
